x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
4.18,0.86,-0.205712406,-0.044999244,0.036327689,-0.00885031,-0.007383464,0.008854285,-0.002545904,0.887331422,0.851003733,0.867237507,0.860929126
4.20,0.87,-0.22039295,-0.039103613,0.036296021,-0.011631962,-0.005144213,0.008823338,-0.004108383,0.896116335,0.859820314,0.87659649,0.871881535
4.22,0.88,-0.234720912,-0.032957853,0.035742317,-0.014116471,-0.002699879,0.008286601,-0.005350863,0.904298537,0.86855622,0.885372571,0.882436832
4.24,0.89,-0.248673371,-0.026601275,0.034674541,-0.016240369,-0.000147909,0.007274843,-0.006176569,0.911894418,0.877219877,0.893608155,0.892509881
4.26,0.90,-0.262228006,-0.020074539,0.03310805,-0.017949399,0.002409958,0.005846061,-0.006521188,0.918922317,0.885814266,0.901353708,0.902028835
4.28,0.91,-0.275363131,-0.013419395,0.031065376,-0.019199904,0.004871747,0.00408216,-0.006357877,0.925402299,0.894336923,0.90866508,0.910940797
4.30,0.92,-0.288057735,-0.006678413,0.028575897,-0.019959939,0.007139315,0.002084252,-0.005699357,0.93135592,0.902780023,0.915600647,0.919215752
4.32,0.92,-0.300291507,0.000105289,0.025675418,-0.020210089,0.009122261,-3.31328E-05,-0.004596919,0.936805991,0.911130573,0.922218401,0.926848453
4.34,0.93,-0.312044877,0.006888317,0.022405656,-0.019943964,0.010741532,-0.002148619,-0.003136431,0.941776333,0.919370676,0.928573108,0.933858158
4.36,0.94,-0.323299042,0.013627283,0.018813641,-0.019168361,0.011932571,-0.004140937,-0.001431649,0.946291532,0.927477891,0.934713681,0.940286266
4.38,0.95,-0.334035998,0.020279081,0.014951033,-0.017903094,0.012647897,-0.00589588,0.000384643,0.950376689,0.935425655,0.940680853,0.94619209
4.40,0.95,-0.344238567,0.026801162,0.01087339,-0.016180485,0.01285899,-0.007312848,0.002170976,0.954057177,0.943183787,0.946505282,0.951647154
4.42,0.96,-0.353890427,0.033151808,0.006639357,-0.014044538,0.012557437,-0.008310613,0.003788213,0.957358392,0.950719036,0.952206137,0.956728538
4.44,0.96,-0.362976139,0.039290394,0.002309832,-0.011549818,0.011755258,-0.00883198,0.005110389,0.960305517,0.957995685,0.957790246,0.961511837
4.46,0.97,-0.371481166,0.045177657,-0.002052915,-0.008760052,0.010484434,-0.008847063,0.006034522,0.962923282,0.964976197,0.963251816,0.966064357
4.48,0.97,-0.379391903,0.050775936,-0.006386135,-0.005746507,0.008795628,-0.008354996,0.006488631,0.965235739,0.971621874,0.968572753,0.970439118
4.50,0.98,-0.386695693,0.056049423,-0.010627505,-0.002586166,0.006756169,-0.007383987,0.006437346,0.967266043,0.977893548,0.973723544,0.974670185
4.52,0.98,-0.393380853,0.060964385,-0.014716023,0.000640241,0.004447363,-0.005989697,0.005884662,0.969036241,0.983752264,0.97866466,0.978769695
4.54,0.99,-0.399436688,0.065489383,-0.018592884,0.003850292,0.001961254,-0.004252054,0.004873627,0.970567077,0.989159961,0.983348415,0.982726842
4.56,0.99,-0.404853508,0.069595472,-0.022202328,0.006961986,-0.000603044,-0.002270666,0.00348299,0.971877809,0.994080138,0.987721195,0.986508872
4.58,0.99,-0.40962265,0.073256387,-0.025492443,0.009895834,-0.0031433,-0.000159115,0.001821065,0.972986035,0.998478478,0.991725945,0.990063995
4.60,0.99,-0.413736483,0.076448712,-0.028415907,0.012576887,-0.005558243,0.001961558,1.72991E-05,0.973907543,1.00232345,0.995304805,0.993325948
4.62,1.00,-0.417188426,0.079152026,-0.030930672,0.014936659,-0.007751596,0.003969786,-0.001787814,0.974656172,1.005586844,0.998401781,0.996219809
