x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
2.78,0.35,0.159091616,0.005267176,-0.01025173,-0.009793798,-0.005720557,-0.001623464,0.001119183,0.330833267,0.341084997,0.356599353,0.357103635
2.80,0.33,0.164580191,0.008615794,-0.008379346,-0.009272196,-0.00619004,-0.002562285,0.000228045,0.312607976,0.320987322,0.336449557,0.338783798
2.82,0.32,0.169805473,0.011909301,-0.006386444,-0.008513731,-0.006412745,-0.003354226,-0.000680856,0.294634094,0.301020538,0.315947014,0.319982095
2.84,0.30,0.174759103,0.015126628,-0.004301687,-0.007537779,-0.006379794,-0.003953889,-0.001536725,0.276944831,0.281246518,0.295164091,0.300654704
2.86,0.28,0.179433155,0.018247197,-0.00215506,-0.006369271,-0.006092502,-0.004326898,-0.0022729,0.259572497,0.261727557,0.274189329,0.280789127
2.88,0.26,0.183820153,0.021251046,2.25619E-05,-0.005038058,-0.00556232,-0.004451873,-0.00283204,0.242548362,0.2425258,0.253126177,0.26041009
2.90,0.24,0.187913078,0.024118961,0.00219986,-0.003578145,-0.004810386,-0.004321648,-0.003170596,0.225902512,0.223702652,0.232091183,0.239583427
2.92,0.22,0.191705382,0.026832597,0.004345517,-0.002026826,-0.003866677,-0.003943689,-0.003262197,0.209663714,0.205318197,0.2112117,0.218417585
2.94,0.20,0.195190998,0.029374596,0.006428675,-0.000423732,-0.002768816,-0.003339661,-0.003099708,0.193859285,0.187430611,0.190623159,0.197062528
2.96,0.18,0.19836435,0.031728697,0.00841937,0.001190187,-0.001560571,-0.002544191,-0.002695785,0.178514973,0.170095603,0.170465988,0.175705963
2.98,0.16,0.201220361,0.033879843,0.010288972,0.002773702,-0.000290111,-0.001602877,-0.00208189,0.163654839,0.153365867,0.150882277,0.154567044
3.00,0.14,0.203754463,0.035814274,0.012010591,0.004286361,0.000991914,-0.00056968,-0.001305839,0.149301153,0.137290562,0.132012287,0.133887805
3.02,0.12,0.205962601,0.037519616,0.013559464,0.005689524,0.002234396,0.000496174,-0.000428077,0.135474296,0.121914832,0.113990913,0.113922816
3.04,0.10,0.207841243,0.03898496,0.014913315,0.006947345,0.003387799,0.001533584,0.000483028,0.122192676,0.10727936,0.096944217,0.094927605
3.06,0.08,0.209387383,0.040200934,0.016052673,0.008027693,0.004406141,0.002483084,0.00135651,0.109472645,0.093419972,0.080986138,0.077146545
3.08,0.06,0.210598549,0.041159759,0.016961148,0.00890297,0.005248824,0.003290243,0.002124334,0.097328438,0.080367289,0.066215495,0.060800917
3.10,0.04,0.211472801,0.041855301,0.017625677,0.009550818,0.005882253,0.003908792,0.002726697,0.085772115,0.068146438,0.052713368,0.046077879
3.12,0.02,0.212008742,0.042283113,0.0180367,0.009954685,0.006281176,0.004303273,0.003116679,0.074813519,0.056776819,0.040540959,0.033121007
3.14,0.00,0.212205514,0.042440457,0.018188306,0.010104256,0.006429687,0.004451073,0.003263905,0.064460241,0.046271936,0.029737993,0.022023014
3.16,0.00,0.212062803,0.042326327,0.018078314,0.009995709,0.006321868,0.00434372,0.003156909,0.054717603,0.036639288,0.020321712,0.012821083
3.18,0.00,0.211580836,0.041941453,0.017708308,0.009631817,0.005962015,0.003987367,0.002804024,0.045588645,0.027880337,0.012286505,0.005495114
3.20,0.00,0.210760386,0.041288296,0.017083607,0.009021876,0.005364476,0.003402442,0.002232736,0.037074132,0.019990525,0.005604174,-3.1005E-05
3.22,0.00,0.209602763,0.040371036,0.016213197,0.008181468,0.004553072,0.002622475,0.001487543,0.02917257,0.012959373,0.000224833,-0.003885185
3.24,0.00,0.208109821,0.039195539,0.015109598,0.007132061,0.003560151,0.001692178,0.000626485,0.02188023,0.006770632,-0.00392158,-0.006240243
3.26,0.00,0.206283948,0.037769324,0.013788681,0.005900461,0.002425298,0.000664877,-0.000283368,0.015191187,0.001402506,-0.006923254,-0.007304763
3.28,0.00,0.204128064,0.036101514,0.012269445,0.004518133,0.001193757,-0.000400536,-0.00117115,0.009097375,-0.003172071,-0.00888396,-0.007312273
3.30,0.00,0.201645619,0.034202777,0.010573742,0.003020386,-8.53762E-05,-0.00144299,-0.001967713,0.003588643,-0.006985099,-0.009920109,-0.006509406
3.32,0.00,0.198840584,0.03208526,0.008725959,0.001445482,-0.001361105,-0.002402725,-0.002611012,-0.00134717,-0.010073129,-0.010157506,-0.005143769
3.34,0.00,0.195717446,0.029762507,0.006752673,-0.000166347,-0.002582572,-0.003224726,-0.003050941,-0.005724153,-0.012476826,-0.009727907,-0.00345224
3.36,0.00,0.192281202,0.027249375,0.004682265,-0.001773926,-0.003701079,-0.003861873,-0.003253236,-0.009558231,-0.014240496,-0.00876549,-0.001650381
3.38,0.00,0.18853735,0.02456194,0.002544513,-0.00333619,-0.004672036,-0.004277642,-0.003202139,-0.012867063,-0.015411576,-0.00740335,7.64304E-05
3.40,0.00,0.184491877,0.021717392,0.000370164,-0.00481323,-0.005456733,-0.004448199,-0.002901629,-0.015669934,-0.016040099,-0.005770135,0.001579693
3.42,0.00,0.180151258,0.018733927,-0.001809508,-0.006167313,-0.006023888,-0.004363767,-0.002375115,-0.017987634,-0.016178125,-0.003986923,0.002751959
3.44,0.00,0.175522434,0.015630629,-0.003963155,-0.00736385,-0.00635089,-0.004029187,-0.001663605,-0.019842333,-0.015879178,-0.002164438,0.003528354
3.46,0.00,0.170612812,0.012427348,-0.006059801,-0.008372274,-0.006424701,-0.003463637,-0.000822518,-0.021257454,-0.015197653,-0.000400677,0.003885478
3.48,0.00,0.165430246,0.009144575,-0.008069291,-0.009166825,-0.00624238,-0.002699537,8.26338E-05,-0.022257529,-0.014188238,0.001220967,0.00383787
3.50,0.00,0.159983027,0.005803308,-0.009962722,-0.009727205,-0.005811195,-0.001780689,0.00098135,-0.022868063,-0.01290534,0.00263306,0.0034324
3.52,0.00,0.154279869,0.002424919,-0.011712862,-0.0100391,-0.005148336,-0.000759765,0.001803629,-0.023115381,-0.011402519,0.003784917,0.002741053
3.54,0.00,0.148329897,-0.000968981,-0.013294539,-0.010094541,-0.004280229,0.000304712,0.002485425,-0.023026489,-0.009731949,0.004642821,0.001852684
3.56,0.00,0.142142628,-0.004356683,-0.014685005,-0.009892113,-0.003241483,0.001351722,0.002973634,-0.02262891,-0.007943905,0.005189691,0.000864335
3.58,0.00,0.135727961,-0.007716517,-0.01586426,-0.009436987,-0.002073509,0.002321245,0.003230229,-0.021950543,-0.006086283,0.005424212,-0.000127262
