x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),F1,F2,F3
2.66,-1.00,-1.095930787,-0.01333114,0.226892948,-0.150438813,-1.109261927,-0.882368979,-1.032807792
2.68,-1.00,-1.115748318,0.026649124,0.206014486,-0.169118313,-1.089099194,-0.883084708,-1.052203021
2.70,-1.00,-1.134464741,0.066392849,0.180063263,-0.179651979,-1.068071892,-0.888008629,-1.067660608
2.72,-1.00,-1.152061584,0.105547266,0.149678285,-0.181532442,-1.046514318,-0.896836033,-1.078368475
2.74,-1.00,-1.168521482,0.143764838,0.115607731,-0.174669128,-1.024756643,-0.909148912,-1.08381804
2.76,-1.00,-1.18382819,0.180706344,0.078690531,-0.159392617,-1.003121846,-0.924431314,-1.083823931
2.78,-1.00,-1.197966602,0.216043887,0.039835709,-0.136438725,-0.981922715,-0.942087006,-1.078525731
2.80,-1.00,-1.210922766,0.249463809,2.18387E-16,-0.106913061,-0.961458957,-0.961458957,-1.068372018
2.82,-1.00,-1.222683895,0.280669473,-0.039835709,-0.072237771,-0.942014422,-0.981850132,-1.054087903
2.84,-1.00,-1.233238383,0.309383894,-0.078690531,-0.034083043,-0.923854489,-1.00254502,-1.036628063
2.86,-1.00,-1.242575814,0.335352203,-0.115607731,0.005713346,-0.907223611,-1.022831342,-1.017117997
2.88,-1.00,-1.250686972,0.358343901,-0.149678285,0.045234543,-0.892343071,-1.042021356,-0.996786813
2.90,-1.00,-1.257563853,0.378154914,-0.180063263,0.082576951,-0.879408939,-1.059472203,-0.976895252
2.92,-1.00,-1.263199671,0.394609397,-0.206014486,0.115941919,-0.868590274,-1.07460476,-0.958662841
2.94,-1.00,-1.267588863,0.407561298,-0.226892948,0.143722373,-0.860027564,-1.086920512,-0.94319814
2.96,-1.00,-1.270727097,0.416895657,-0.242184553,0.164580226,-0.85383144,-1.096015993,-0.931435767
2.98,-1.00,-1.272611278,0.422529621,-0.251512771,0.177510831,-0.850081657,-1.101594428,-0.924083597
3.00,-1.00,-1.273239545,0.424413182,-0.254647909,0.181891364,-0.848826363,-1.103474272,-0.921582909
3.02,-1.00,-1.272611278,0.422529621,-0.251512771,0.177510831,-0.850081657,-1.101594428,-0.924083597
3.04,-1.00,-1.270727097,0.416895657,-0.242184553,0.164580226,-0.85383144,-1.096015993,-0.931435767
3.06,-1.00,-1.267588863,0.407561298,-0.226892948,0.143722373,-0.860027564,-1.086920512,-0.94319814
3.08,-1.00,-1.263199671,0.394609397,-0.206014486,0.115941919,-0.868590274,-1.07460476,-0.958662841
3.10,-1.00,-1.257563853,0.378154914,-0.180063263,0.082576951,-0.879408939,-1.059472203,-0.976895252
3.12,-1.00,-1.250686972,0.358343901,-0.149678285,0.045234543,-0.892343071,-1.042021356,-0.996786813
3.14,-1.00,-1.242575814,0.335352203,-0.115607731,0.005713346,-0.907223611,-1.022831342,-1.017117997
3.16,-1.00,-1.233238383,0.309383894,-0.078690531,-0.034083043,-0.923854489,-1.00254502,-1.036628063
3.18,-1.00,-1.222683895,0.280669473,-0.039835709,-0.072237771,-0.942014422,-0.981850132,-1.054087903
3.20,-1.00,-1.210922766,0.249463809,-2.49585E-16,-0.106913061,-0.961458957,-0.961458957,-1.068372018
3.22,-1.00,-1.197966602,0.216043887,0.039835709,-0.136438725,-0.981922715,-0.942087006,-1.078525731
3.24,-1.00,-1.18382819,0.180706344,0.078690531,-0.159392617,-1.003121846,-0.924431314,-1.083823931
3.26,-1.00,-1.168521482,0.143764838,0.115607731,-0.174669128,-1.024756643,-0.909148912,-1.08381804
3.28,-1.00,-1.152061584,0.105547266,0.149678285,-0.181532442,-1.046514318,-0.896836033,-1.078368475
3.30,-1.00,-1.134464741,0.066392849,0.180063263,-0.179651979,-1.068071892,-0.888008629,-1.067660608
