x,f(x),S1(n=1),S2(n=3),S3(n=5),S4(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+S2+S3+S4
3.18,-0.82,-0.778384743,-0.059559912,-0.00507204,0.006569713,-0.837944655,-0.843016695,-0.836446982
3.20,-0.80,-0.770897376,-0.052937864,-3.17782E-17,0.009723281,-0.82383524,-0.82383524,-0.814111959
3.22,-0.78,-0.762649225,-0.045845937,0.00507204,0.012408513,-0.808495162,-0.803423122,-0.791014609
3.24,-0.76,-0.753648433,-0.038347077,0.01001919,0.01449607,-0.79199551,-0.78197632,-0.76748025
3.26,-0.74,-0.74390388,-0.030507846,0.014719634,0.015885403,-0.774411726,-0.759692092,-0.74380669
3.28,-0.72,-0.733425184,-0.022397826,0.019057631,0.016509592,-0.755823009,-0.736765378,-0.720255786
3.30,-0.70,-0.722222685,-0.014089,0.022926367,0.016338572,-0.736311685,-0.713385319,-0.697046747
3.32,-0.68,-0.71030744,-0.00565512,0.026230579,0.01538058,-0.71596256,-0.689731981,-0.674351401
3.34,-0.66,-0.697691208,0.002828956,0.028888907,0.01368176,-0.694862252,-0.665973345,-0.652291584
3.36,-0.64,-0.684386438,0.011287921,0.030835895,0.011323938,-0.673098517,-0.642262622,-0.630938683
3.38,-0.62,-0.670406262,0.019646695,0.032023601,0.008420682,-0.650759567,-0.618735967,-0.610315285
3.40,-0.60,-0.655764476,0.027831082,0.032422779,0.005111831,-0.627933393,-0.595510615,-0.590398783
3.42,-0.58,-0.640475529,0.035768439,0.032023601,0.001556762,-0.604707089,-0.572683489,-0.571126727
3.44,-0.56,-0.62455451,0.043388313,0.030835895,-0.002073292,-0.581166197,-0.550330302,-0.552403594
3.46,-0.54,-0.608017132,0.050623069,0.028888907,-0.005603482,-0.557394062,-0.528505155,-0.534108637
3.48,-0.52,-0.590879713,0.057408492,0.026230579,-0.008863772,-0.533471222,-0.507240643,-0.516104415
3.50,-0.50,-0.573159168,0.063684352,0.022926367,-0.011697126,-0.509474816,-0.486548449,-0.498245575
3.52,-0.48,-0.554872984,0.069394946,0.019057631,-0.01396707,-0.485478039,-0.466420407,-0.480387478
3.54,-0.46,-0.536039208,0.074489585,0.014719634,-0.01556427,-0.461549623,-0.446829989,-0.462394259
3.56,-0.44,-0.516676425,0.078923049,0.01001919,-0.016411794,-0.437753376,-0.427734186,-0.44414598
3.58,-0.42,-0.496803745,0.082655987,0.00507204,-0.016468819,-0.414147758,-0.409075718,-0.425544537
